SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Binance Coin,BNB,2017-07-26 23:59:59,0.1090129986,0.0992655009,0.105893001,0.1051379964,200395,10513800
2,Binance Coin,BNB,2017-07-27 23:59:59,0.1084790006,0.1008879989,0.1051080003,0.1077369973,344499,10773700
3,Binance Coin,BNB,2017-07-28 23:59:59,0.1090189964,0.1014730036,0.1076320037,0.1040669978,342568,10406700
4,Binance Coin,BNB,2017-07-29 23:59:59,0.1112639979,0.1011079997,0.1047820002,0.1078109965,340218,10781100
5,Binance Coin,BNB,2017-07-30 23:59:59,0.1081380025,0.1031619981,0.1079349965,0.1064139977,224261,10641400
6,Binance Coin,BNB,2017-07-31 23:59:59,0.1083490029,0.1015999988,0.1068279967,0.1042499989,240309,10425000
7,Binance Coin,BNB,2017-08-01 23:59:59,0.1062659994,0.09610939771,0.1045949981,0.09986680001,300413,9986680
8,Binance Coin,BNB,2017-08-02 23:59:59,0.1012109965,0.09736119956,0.09972120076,0.1004519984,256793,10045200
9,Binance Coin,BNB,2017-08-03 23:59:59,0.1069779992,0.09911970049,0.1003279984,0.1066420004,293008,10664200
10,Binance Coin,BNB,2017-08-04 23:59:59,0.1077559963,0.1026989967,0.1066849977,0.1074939966,287621,10749400
11,Binance Coin,BNB,2017-08-05 23:59:59,0.1446530074,0.107069999,0.1074180007,0.1288709939,542878,12887100
12,Binance Coin,BNB,2017-08-06 23:59:59,0.1329880059,0.1273799986,0.1292929947,0.1309989989,393681,13099900
13,Binance Coin,BNB,2017-08-07 23:59:59,0.1497649997,0.1333000064,0.133957997,0.1488479972,748177,14884800
14,Binance Coin,BNB,2017-08-08 23:59:59,0.2269250005,0.1477659941,0.1489980072,0.2244209945,2617340,22442100
15,Binance Coin,BNB,2017-08-09 23:59:59,0.2606250048,0.2221579999,0.2247480005,0.2429119945,3075320,24291200
16,Binance Coin,BNB,2017-08-10 23:59:59,0.3499760032,0.2450519949,0.2518270016,0.3490790129,4118070,34907900
17,Binance Coin,BNB,2017-08-11 23:59:59,0.4096539915,0.3110669851,0.348785013,0.3925719857,4413920,39257200
18,Binance Coin,BNB,2017-08-12 23:59:59,0.4759919941,0.3375889957,0.3921929896,0.4463649988,5080760,44636500
19,Binance Coin,BNB,2017-08-13 23:59:59,1.02263999,0.4459899962,0.4459899962,0.8768280149,13852100,87682800
20,Binance Coin,BNB,2017-08-14 23:59:59,1.463389993,0.7357640266,0.8729180098,1.295570016,51698100,129557000
21,Binance Coin,BNB,2017-08-15 23:59:59,1.378919959,0.9233719707,1.327090025,1.056550026,19824400,105655000
22,Binance Coin,BNB,2017-08-16 23:59:59,1.452720046,1.078690052,1.119689941,1.437240005,31363100,143724000
23,Binance Coin,BNB,2017-08-17 23:59:59,2.111310005,1.323639989,1.436969995,1.967149973,61296500,196715000
24,Binance Coin,BNB,2017-08-18 23:59:59,2.754120111,1.89470005,1.925189972,2.384000063,69048000,238400000
